epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,18001.3,0.92311,0.48331,1.17209,0.95684,0.91896,0.9666,0.75212,0.85414,0.37032,1.14844,0.007327,0.007327,0.007327
83,18219.3,0.92551,0.49643,1.17323,0.9563,0.90082,0.96478,0.74425,0.85394,0.36802,1.15654,0.007294,0.007294,0.007294
84,18439,0.91683,0.48693,1.16215,0.96508,0.8988,0.96179,0.74147,0.8538,0.37278,1.15781,0.007261,0.007261,0.007261
85,18659.7,0.91697,0.48684,1.16617,0.96957,0.92388,0.96889,0.75684,0.84066,0.36442,1.14058,0.007228,0.007228,0.007228
86,18880.5,0.90575,0.48443,1.15961,0.96946,0.90353,0.9656,0.74883,0.84755,0.36885,1.15099,0.007195,0.007195,0.007195
87,19101.3,0.9178,0.48646,1.16633,0.96737,0.92363,0.96924,0.75273,0.83777,0.35843,1.13633,0.007162,0.007162,0.007162
88,19320.8,0.9306,0.49134,1.16932,0.95941,0.91332,0.96548,0.74571,0.85017,0.369,1.14856,0.007129,0.007129,0.007129
89,19540.2,0.92134,0.48449,1.15935,0.96009,0.91648,0.96646,0.75392,0.83185,0.35711,1.13968,0.007096,0.007096,0.007096
90,19760.6,0.91874,0.48408,1.16457,0.96556,0.91864,0.96719,0.75562,0.84543,0.35231,1.14689,0.007063,0.007063,0.007063
91,19980.9,0.9113,0.48522,1.16085,0.97651,0.91285,0.97028,0.75714,0.84251,0.35566,1.13947,0.00703,0.00703,0.00703
92,20201.3,0.91302,0.47597,1.15721,0.95678,0.92214,0.97237,0.7563,0.84165,0.35697,1.14807,0.006997,0.006997,0.006997
93,20421.6,0.90576,0.47741,1.14563,0.9674,0.91378,0.9706,0.75982,0.84843,0.35073,1.14044,0.006964,0.006964,0.006964
94,20641.1,0.90195,0.48299,1.15643,0.97311,0.91256,0.96968,0.75543,0.85091,0.35782,1.14436,0.006931,0.006931,0.006931
95,20860.9,0.90566,0.48116,1.15303,0.96291,0.92124,0.97024,0.75026,0.85526,0.36021,1.14419,0.006898,0.006898,0.006898
96,21080.1,0.89884,0.47326,1.15138,0.97399,0.88781,0.96575,0.75031,0.85118,0.36523,1.15471,0.006865,0.006865,0.006865
97,21300.6,0.90437,0.47872,1.15939,0.9439,0.92091,0.96748,0.75448,0.84279,0.36456,1.15383,0.006832,0.006832,0.006832
98,21520.4,0.89479,0.47953,1.15363,0.96159,0.89474,0.96322,0.74226,0.85638,0.3721,1.15505,0.006799,0.006799,0.006799
99,21740.1,0.89655,0.47375,1.15625,0.94819,0.91644,0.96313,0.75025,0.85666,0.36386,1.15372,0.006766,0.006766,0.006766
100,21959.9,0.89888,0.46996,1.14994,0.9452,0.93363,0.96633,0.74874,0.86032,0.35907,1.15934,0.006733,0.006733,0.006733
101,22180.3,0.8892,0.47099,1.14482,0.96899,0.91367,0.97019,0.75956,0.85263,0.35517,1.15028,0.0067,0.0067,0.0067
102,22401.2,0.89194,0.46755,1.15063,0.96565,0.9192,0.97248,0.76193,0.8461,0.35041,1.15208,0.006667,0.006667,0.006667
103,22622.5,0.89666,0.47087,1.15166,0.93586,0.92036,0.96472,0.75704,0.83169,0.35351,1.13963,0.006634,0.006634,0.006634
104,22842.4,0.89476,0.47248,1.14854,0.94081,0.92628,0.96366,0.75392,0.83425,0.35634,1.13856,0.006601,0.006601,0.006601
105,23061.8,0.87416,0.45708,1.13517,0.94447,0.93613,0.96651,0.76132,0.82719,0.33946,1.13462,0.006568,0.006568,0.006568
106,23283.2,0.88495,0.4654,1.14394,0.94872,0.93341,0.96876,0.75815,0.8325,0.34346,1.14746,0.006535,0.006535,0.006535
107,23503,0.88305,0.46469,1.14182,0.9593,0.90811,0.96502,0.75419,0.83478,0.34648,1.15613,0.006502,0.006502,0.006502
108,23723.2,0.87843,0.45089,1.14282,0.97276,0.91376,0.97125,0.76347,0.83426,0.34203,1.139,0.006469,0.006469,0.006469
109,23944.8,0.87343,0.45559,1.13897,0.97699,0.91725,0.97282,0.76446,0.83988,0.34358,1.14793,0.006436,0.006436,0.006436
110,24163.7,0.88209,0.45332,1.14141,0.95431,0.934,0.97087,0.76037,0.83969,0.33772,1.14529,0.006403,0.006403,0.006403
111,24383,0.87013,0.45247,1.14232,0.97026,0.92444,0.97089,0.75939,0.84233,0.34178,1.144,0.00637,0.00637,0.00637
112,24603.1,0.87904,0.45452,1.14028,0.97347,0.91699,0.9694,0.76179,0.83296,0.34252,1.14184,0.006337,0.006337,0.006337
113,24824.2,0.87518,0.45919,1.13928,0.97212,0.92388,0.97072,0.76545,0.83357,0.34177,1.14017,0.006304,0.006304,0.006304
114,25043.9,0.86698,0.45043,1.12971,0.96114,0.92749,0.96897,0.76303,0.83473,0.34279,1.14875,0.006271,0.006271,0.006271
115,25263.8,0.87052,0.45223,1.13262,0.97341,0.92017,0.96827,0.75938,0.83757,0.34992,1.14993,0.006238,0.006238,0.006238
116,25484.4,0.86894,0.45141,1.12917,0.9663,0.92329,0.97038,0.76198,0.8365,0.34923,1.1445,0.006205,0.006205,0.006205
117,25705.5,0.87398,0.45163,1.13873,0.94975,0.92864,0.97033,0.76278,0.83925,0.34489,1.14757,0.006172,0.006172,0.006172
118,25925.2,0.87339,0.44807,1.13655,0.96856,0.9164,0.96815,0.76083,0.83552,0.3387,1.13967,0.006139,0.006139,0.006139
119,26144.7,0.8662,0.44146,1.13005,0.96489,0.92777,0.96939,0.76589,0.82951,0.33551,1.14435,0.006106,0.006106,0.006106
120,26365.5,0.86411,0.44474,1.13443,0.95931,0.9241,0.96602,0.76045,0.82896,0.3374,1.14606,0.006073,0.006073,0.006073
121,26586.7,0.84978,0.44161,1.11988,0.97074,0.91314,0.96583,0.76144,0.83118,0.33878,1.14797,0.00604,0.00604,0.00604
122,26806.3,0.85418,0.43456,1.12346,0.96968,0.91278,0.96839,0.76503,0.83239,0.34231,1.1411,0.006007,0.006007,0.006007
123,27027,0.86359,0.44178,1.1263,0.97094,0.91944,0.96817,0.76687,0.83249,0.34093,1.14263,0.005974,0.005974,0.005974
124,27247.3,0.86061,0.4456,1.13053,0.9539,0.93092,0.96955,0.76278,0.83401,0.34037,1.14519,0.005941,0.005941,0.005941
125,27466.3,0.84567,0.43964,1.1195,0.96179,0.91814,0.96783,0.75752,0.83041,0.3408,1.1484,0.005908,0.005908,0.005908
126,27684.4,0.84842,0.43586,1.11613,0.96649,0.92475,0.97002,0.7646,0.82813,0.34545,1.14215,0.005875,0.005875,0.005875
127,27906.4,0.85028,0.44533,1.12022,0.96786,0.92868,0.96909,0.76246,0.83483,0.33962,1.14675,0.005842,0.005842,0.005842
128,28126.3,0.85005,0.43812,1.12689,0.964,0.91866,0.96775,0.76062,0.82874,0.33341,1.14658,0.005809,0.005809,0.005809
129,28346.1,0.85467,0.44333,1.12506,0.9642,0.91593,0.96805,0.75847,0.8345,0.33483,1.149,0.005776,0.005776,0.005776
130,28565.3,0.85506,0.44589,1.12593,0.97112,0.92878,0.97119,0.76465,0.83336,0.33617,1.15042,0.005743,0.005743,0.005743
131,28784.8,0.84171,0.43494,1.1179,0.96728,0.923,0.96954,0.7615,0.8307,0.33544,1.15198,0.00571,0.00571,0.00571
132,29003.3,0.84503,0.43188,1.11955,0.96682,0.92,0.96822,0.76017,0.83013,0.33982,1.14648,0.005677,0.005677,0.005677
133,29223,0.83759,0.42967,1.11243,0.95983,0.93033,0.96848,0.76164,0.82975,0.33662,1.14286,0.005644,0.005644,0.005644
